"","x"
"1",0.525227787767353
"2",0.614838967300255
"3",0.803494881499583
"4",0.868564734521734
"5",0.872655431575959
"6",0.878023818727663
"7",0.906422942541095
"8",0.917243318936275
"9",0.913180072015885
"10",0.909098064109294
"11",0.903692537845206
"12",0.895602193427881
"13",0.890186973114251
"14",0.892852775886438
"15",0.896907202658526
"16",0.894277801169145
"17",0.891584291332778
"18",0.899683702686763
"19",0.90099803071342
"20",0.905070969147855
"21",0.909097565461584
"22",0.922666485496967
"23",0.929469707768608
"24",0.936263611244239
"25",0.928072764803612
"26",0.929424365478818
"27",0.9253336633536
"28",0.926685264028807
"29",0.929387966731509
"30",0.932127692758907
"31",0.932090543504536
"32",0.929378773865174
"33",0.917170398047478
"34",0.91173728811339
"35",0.910386062691714
"36",0.895466040628835
"37",0.888681705273071
"38",0.877751132805047
"39",0.872318025406456
"40",0.864127053036153
"41",0.842367535883999
"42",0.828826196983121
"43",0.817968923192921
"44",0.805797444770245
"45",0.784056064026907
"46",0.773189967552909
"47",0.74870898671185
"48",0.725643460498134
"49",0.726948593122958
"50",0.718794145429641
"51",0.714740469164614
"52",0.710685916462851
"53",0.718867194783611
"54",0.702549980431881
"55",0.686186547353623
"56",0.66304685109634
"57",0.667101277868427
"58",0.657595604753434
"59",0.660307374392797
"60",0.650810770749961
"61",0.643970648547804
"62",0.637176745072173
"63",0.624968245860299
"64",0.618229255329821
"65",0.603280654837019
"66",0.596459044297209
"67",0.599189700852449
"68",0.59512633053788
"69",0.588332552991926
"70",0.591062960223312
"71",0.593756470059679
"72",0.591025813504438
"73",0.591062091393065
"74",0.585647493121324
"75",0.585620161310675
"76",0.584213899549667
"77",0.581511073452785
"78",0.582844036535968
"79",0.581483242994427
"80",0.582862049550606
"81",0.580113130656873
"82",0.585509466590122
"83",0.58143690087372
"84",0.580094618994526
"85",0.580103688466682
"86",0.578697174846323
"87",0.580067037860022
"88",0.581473800804236
"89",0.57743763637064
"90",0.582870869698908
"91",0.581528587819713
"92",0.581528587819713
"93",0.580158724806015
"94",0.581546850158206
"95",0.580176987144507
"96",0.580186056616664
"97",0.582898201509557
"98",0.581528338495858
"99",0.584249552860908
"100",0.584267815199401
"101",0.585610097078595
"102",0.585600778282584
"103",0.578825263075122
"104",0.578825263075122
"105",0.57884365134329
"106",0.578834332547279
"107",0.578852594885771
"108",0.57481667977603
"109",0.574789098641526
"110",0.572086272544645
"111",0.569383446447763
"112",0.568022902230076
"113",0.566662358012389
"114",0.561284161023454
"115",0.557220790708885
"116",0.54915802996156
"117",0.543743058971785
"118",0.541076757551889
"119",0.538373931455007
"120",0.537059230710316
"121",0.534347085817423
"122",0.535716948831122
"123",0.532986541599736
"124",0.532986541599736
"125",0.528932114827648
"126",0.523544724972377
"127",0.526229288730766
"128",0.527571570609961
"129",0.527571570609961
"130",0.526201707596262
"131",0.519462717065785
"132",0.516769083835239
"133",0.514056938942346
"134",0.510030093304762
"135",0.510030093304762
"136",0.508660230291063
"137",0.507290367277365
"138",0.505939015926013
"139",0.504578471708326
"140",0.504550890573822
"141",0.504578471708326
"142",0.499145361774238
"143",0.500496713125589
"144",0.500496713125589
"145",0.500496713125589
"146",0.500505905991925
"147",0.500496713125589
"148",0.497775624690215
"149",0.493748779052631
"150",0.489703794470734
"151",0.491046076349929
"152",0.485640424156165
"153",0.484289072804814
"154",0.48429826567115
"155",0.484289072804814
"156",0.482937721453462
"157",0.481577177235775
"158",0.481577177235775
"159",0.478874474533073
"160",0.477513930315386
"161",0.476153386097698
"162",0.47750473744905
"163",0.47750473744905
"164",0.474783649013676
"165",0.474783649013676
"166",0.473432297662324
"167",0.473441367134481
"168",0.474783649013676
"169",0.472080822916794
"170",0.469396259158405
"171",0.469396259158405
"172",0.469396259158405
"173",0.469396259158405
"174",0.469396259158405
"175",0.469396259158405
"176",0.469396259158405
"177",0.469396259158405
"178",0.469396259158405
"179",0.468035714940718
"180",0.468035714940718
"181",0.468035714940718
"182",0.466693433061523
"183",0.466693433061523
"184",0.466693433061523
"185",0.46398128816863
"186",0.465323570047824
"187",0.465323570047824
"188",0.468035714940718
"189",0.46398128816863
"190",0.462630062746954
"191",0.462630062746954
"192",0.462630062746954
"193",0.462630062746954
"194",0.462630062746954
"195",0.462630062746954
"196",0.462630062746954
"197",0.463972344626149
"198",0.462611800408462
"199",0.462611800408462
"200",0.463972344626149
"201",0.459918167177916
"202",0.458557622960229
"203",0.458557622960229
"204",0.458557622960229
"205",0.457215341081034
"206",0.457215341081034
"207",0.455863989729683
"208",0.455863989729683
"209",0.455863989729683
"210",0.454503445511996
"211",0.454503445511996
"212",0.454503445511996
"213",0.453142901294309
"214",0.453142901294309
"215",0.450421812858934
"216",0.449051949845236
"217",0.450421812858934
"218",0.450421812858934
"219",0.450421812858934
"220",0.450421812858934
"221",0.450421812858934
"222",0.450421812858934
"223",0.450412494062923
"224",0.449051949845236
"225",0.449051949845236
"226",0.447682086831537
"227",0.447682086831537
"228",0.447682086831537
"229",0.447682086831537
"230",0.449051949845236
"231",0.447691405627549
"232",0.447691405627549
"233",0.447691405627549
"234",0.447691405627549
"235",0.447691405627549
"236",0.447691405627549
"237",0.447691405627549
"238",0.447691405627549
"239",0.447691405627549
"240",0.447691405627549
"241",0.447691405627549
"242",0.447691405627549
"243",0.447691405627549
"244",0.447691405627549
"245",0.447691405627549
"246",0.447691405627549
"247",0.447691405627549
"248",0.446330861409862
"249",0.446330861409862
"250",0.446330861409862
"251",0.446330861409862
"252",0.446330861409862
"253",0.444960998396163
"254",0.446330861409862
"255",0.444960998396163
"256",0.444960998396163
"257",0.446330861409862
"258",0.446330861409862
"259",0.446330861409862
"260",0.444960998396163
"261",0.446330861409862
"262",0.446330861409862
"263",0.446330861409862
"264",0.446330861409862
"265",0.444970317192175
"266",0.444970317192175
"267",0.444970317192175
"268",0.444970317192175
"269",0.446330861409862
"270",0.444970317192175
"271",0.446330861409862
"272",0.444970317192175
"273",0.443600454178476
"274",0.444970317192175
"275",0.443600454178476
"276",0.443600454178476
"277",0.443600454178476
"278",0.443600454178476
"279",0.443600454178476
"280",0.443600454178476
"281",0.443600454178476
"282",0.442258172299281
"283",0.44090682094793
"284",0.440915890420087
"285",0.438203994851048
"286",0.435501292148346
"287",0.435501292148346
"288",0.435501292148346
"289",0.435501292148346
"290",0.435501292148346
"291",0.435501292148346
"292",0.435501292148346
"293",0.434159010269151
"294",0.434159010269151
"295",0.434159010269151
"296",0.434159010269151
"297",0.434159010269151
"298",0.434159010269151
"299",0.434159010269151
"300",0.434159010269151
"301",0.434159010269151
"302",0.434159010269151
"303",0.4328076589178
"304",0.4328076589178
"305",0.434159010269151
"306",0.4328076589178
"307",0.430114025687254
"308",0.430114025687254
"309",0.430114025687254
"310",0.430114025687254
"311",0.428771743808059
"312",0.428771743808059
"313",0.428771743808059
"314",0.428771743808059
"315",0.428771743808059
"316",0.42740188079436
"317",0.42740188079436
"318",0.42740188079436
"319",0.424689985225322
"320",0.424689985225322
"321",0.423347703346127
"322",0.423347703346127
"323",0.423347703346127
"324",0.424689985225322
"325",0.423347703346127
"326",0.423347703346127
"327",0.422005421466933
"328",0.422005421466933
"329",0.420635558453234
"330",0.420635558453234
"331",0.422005421466933
"332",0.420635558453234
"333",0.420635558453234
"334",0.420635558453234
"335",0.420635558453234
"336",0.419265695439535
"337",0.419265695439535
"338",0.419265695439535
"339",0.419265695439535
"340",0.419265695439535
"341",0.416581131681146
"342",0.416581131681146
"343",0.419265695439535
"344",0.417905151221848
"345",0.415220587463459
"346",0.415220587463459
"347",0.413860166639951
"348",0.413860166639951
"349",0.413860166639951
"350",0.413860166639951
"351",0.413869236112108
"352",0.409787477529371
"353",0.411148021747058
"354",0.408445195650176
"355",0.408445195650176
"356",0.408445195650176
"357",0.409805739867863
"358",0.408445195650176
"359",0.408445195650176
"360",0.407084651432489
"361",0.407084651432489
"362",0.408445195650176
"363",0.408445195650176
"364",0.407084651432489
"365",0.408445195650176
"366",0.407084651432489
"367",0.407093844298825
"368",0.407093844298825
"369",0.405733300081138
"370",0.405733300081138
"371",0.405733300081138
"372",0.405733300081138
"373",0.405733300081138
"374",0.405733300081138
"375",0.405733300081138
"376",0.405733300081138
"377",0.405733300081138
"378",0.404391018201943
"379",0.404391018201943
"380",0.404391018201943
"381",0.404391018201943
"382",0.404391018201943
"383",0.401697384971397
"384",0.400355103092202
"385",0.400355103092202
"386",0.400355103092202
"387",0.400355103092202
