"","x"
"1",0.244245670508164
"2",0.403066625943207
"3",0.770805174739427
"4",0.826331077096125
"5",0.887346374881015
"6",0.907745597139338
"7",0.911836301800052
"8",0.921232274954415
"9",0.928025803176514
"10",0.928044314838862
"11",0.922592945101778
"12",0.922602012038438
"13",0.926729863418026
"14",0.921287560617602
"15",0.923990137390629
"16",0.923981067918472
"17",0.921259979483098
"18",0.917214871507021
"19",0.922611330834449
"20",0.917178097506182
"21",0.918529448857533
"22",0.910411901094731
"23",0.909051356877044
"24",0.910402708228395
"25",0.905005999577113
"26",0.90229422993775
"27",0.905015441767304
"28",0.903663967021773
"29",0.898294839504995
"30",0.888751891205956
"31",0.886002972312222
"32",0.877848648013084
"33",0.875127682971889
"34",0.86702839754758
"35",0.865695308534721
"36",0.86030791867945
"37",0.84948741889009
"38",0.848126751278224
"39",0.844072447900315
"40",0.833233562378285
"41",0.816961068274456
"42",0.827736097308852
"43",0.816897211786822
"44",0.810158470580199
"45",0.803374011830256
"46",0.792479838109542
"47",0.785713891021946
"48",0.783010938995388
"49",0.783010938995388
"50",0.776217161449434
"51",0.764036117442388
"52",0.76271234722554
"53",0.757306569102101
"54",0.753215617653028
"55",0.743728206876528
"56",0.741006992511478
"57",0.742358842510539
"58",0.739628684603008
"59",0.73423222527558
"60",0.728780603679145
"61",0.723365882013224
"62",0.71926561176814
"63",0.715193171981415
"64",0.716562909065437
"65",0.708417906097807
"66",0.704345216987227
"67",0.700300109011151
"68",0.694876194478895
"69",0.686721746785577
"70",0.681334480324485
"71",0.679974059500977
"72",0.673226248822198
"73",0.669116659781102
"74",0.669116659781102
"75",0.669162752577954
"76",0.665062482332869
"77",0.663683426452835
"78",0.651465731839128
"79",0.646032747834715
"80",0.643311533469665
"81",0.640608707372784
"82",0.636526948790047
"83",0.632463578475478
"84",0.631103034257791
"85",0.627039663943222
"86",0.620255079263603
"87",0.616182513547202
"88",0.616182513547202
"89",0.614849550464019
"90",0.61347968745032
"91",0.605316046890667
"92",0.602585639659281
"93",0.601215776645583
"94",0.598503881076544
"95",0.594440510761975
"96",0.591719296396925
"97",0.591719296396925
"98",0.587637663743864
"99",0.584916449378814
"100",0.584916449378814
"101",0.582222816148268
"102",0.57951092057923
"103",0.576799025010191
"104",0.576799025010191
"105",0.575438480792504
"106",0.572744847561958
"107",0.570005121534561
