"","x"
"1",0.231182795698925
"2",0.134408602150538
"3",0.198924731182796
"4",0.166666666666667
"5",0.172043010752688
"6",0.17741935483871
"7",0.172043010752688
"8",0.17741935483871
"9",0.21505376344086
"10",0.188172043010753
"11",0.188172043010753
"12",0.209677419354839
"13",0.198924731182796
"14",0.209677419354839
"15",0.204301075268817
"16",0.209677419354839
"17",0.198924731182796
"18",0.204301075268817
"19",0.209677419354839
"20",0.209677419354839
"21",0.209677419354839
"22",0.204301075268817
"23",0.204301075268817
"24",0.204301075268817
"25",0.204301075268817
"26",0.204301075268817
"27",0.204301075268817
"28",0.204301075268817
"29",0.193548387096774
"30",0.193548387096774
"31",0.198924731182796
"32",0.188172043010753
"33",0.188172043010753
"34",0.188172043010753
"35",0.182795698924731
"36",0.182795698924731
"37",0.188172043010753
"38",0.188172043010753
"39",0.188172043010753
"40",0.188172043010753
"41",0.188172043010753
"42",0.188172043010753
"43",0.188172043010753
"44",0.188172043010753
"45",0.188172043010753
"46",0.193548387096774
"47",0.193548387096774
"48",0.182795698924731
"49",0.182795698924731
"50",0.17741935483871
"51",0.17741935483871
"52",0.17741935483871
"53",0.172043010752688
"54",0.17741935483871
"55",0.172043010752688
"56",0.172043010752688
"57",0.172043010752688
"58",0.17741935483871
"59",0.17741935483871
"60",0.17741935483871
"61",0.17741935483871
"62",0.17741935483871
"63",0.17741935483871
"64",0.182795698924731
"65",0.182795698924731
"66",0.182795698924731
"67",0.182795698924731
"68",0.182795698924731
"69",0.17741935483871
"70",0.182795698924731
"71",0.182795698924731
"72",0.182795698924731
"73",0.182795698924731
"74",0.182795698924731
"75",0.17741935483871
"76",0.172043010752688
"77",0.172043010752688
"78",0.17741935483871
"79",0.17741935483871
"80",0.17741935483871
"81",0.17741935483871
"82",0.17741935483871
"83",0.17741935483871
"84",0.17741935483871
"85",0.17741935483871
"86",0.17741935483871
"87",0.17741935483871
"88",0.17741935483871
"89",0.17741935483871
"90",0.17741935483871
"91",0.17741935483871
"92",0.17741935483871
"93",0.17741935483871
"94",0.17741935483871
"95",0.17741935483871
"96",0.17741935483871
"97",0.17741935483871
"98",0.17741935483871
"99",0.17741935483871
"100",0.17741935483871
"101",0.17741935483871
"102",0.17741935483871
"103",0.182795698924731
"104",0.182795698924731
"105",0.182795698924731
"106",0.182795698924731
"107",0.182795698924731
"108",0.182795698924731
"109",0.182795698924731
"110",0.182795698924731
"111",0.182795698924731
"112",0.182795698924731
"113",0.182795698924731
"114",0.182795698924731
"115",0.182795698924731
"116",0.182795698924731
"117",0.182795698924731
"118",0.182795698924731
"119",0.182795698924731
"120",0.182795698924731
"121",0.182795698924731
"122",0.182795698924731
"123",0.182795698924731
"124",0.182795698924731
"125",0.182795698924731
"126",0.182795698924731
"127",0.182795698924731
"128",0.182795698924731
"129",0.182795698924731
"130",0.182795698924731
"131",0.182795698924731
"132",0.182795698924731
"133",0.182795698924731
"134",0.182795698924731
"135",0.182795698924731
"136",0.182795698924731
"137",0.182795698924731
"138",0.182795698924731
"139",0.182795698924731
"140",0.182795698924731
"141",0.182795698924731
"142",0.182795698924731
"143",0.182795698924731
"144",0.182795698924731
"145",0.182795698924731
"146",0.182795698924731
"147",0.182795698924731
"148",0.182795698924731
"149",0.182795698924731
"150",0.182795698924731
"151",0.188172043010753
"152",0.188172043010753
"153",0.188172043010753
"154",0.188172043010753
"155",0.188172043010753
"156",0.188172043010753
"157",0.188172043010753
"158",0.188172043010753
"159",0.188172043010753
"160",0.193548387096774
"161",0.193548387096774
"162",0.188172043010753
"163",0.193548387096774
"164",0.193548387096774
"165",0.188172043010753
"166",0.188172043010753
"167",0.193548387096774
"168",0.193548387096774
"169",0.193548387096774
"170",0.193548387096774
"171",0.193548387096774
"172",0.193548387096774
"173",0.193548387096774
"174",0.193548387096774
"175",0.193548387096774
"176",0.193548387096774
"177",0.193548387096774
"178",0.193548387096774
"179",0.193548387096774
"180",0.193548387096774
"181",0.193548387096774
"182",0.193548387096774
"183",0.193548387096774
"184",0.193548387096774
"185",0.193548387096774
