"","x"
"1",0.567154819109796
"2",0.696384821853373
"3",0.872490456094128
"4",0.932200243465167
"5",0.947046964314725
"6",0.95252629297534
"7",0.972815817808529
"8",0.972824761351009
"9",0.970112865781971
"10",0.97011298917615
"11",0.97011298917615
"12",0.970103796309814
"13",0.974185554892551
"14",0.975546099110238
"15",0.975509199179723
"16",0.972815691878853
"17",0.976888380989433
"18",0.976879188123097
"19",0.978249051136796
"20",0.978239732340784
"21",0.976906769257601
"22",0.976925280919949
"23",0.979609721284159
"24",0.98099784663635
"25",0.979628232946506
"26",0.980933491501006
"27",0.980960946705834
"28",0.980979209044327
"29",0.978258120608953
"30",0.978258120608953
"31",0.980988527840338
"32",0.981006790178831
"33",0.979646120031468
"34",0.981006790178831
"35",0.982349072058025
"36",0.980979458368182
"37",0.980979458368182
"38",0.97962810701683
"39",0.976897699785444
"40",0.975546099110238
"41",0.974185554892551
"42",0.976943792582296
"43",0.97962810701683
"44",0.979627857692975
"45",0.97962810701683
"46",0.975582999040754
"47",0.974194873688563
"48",0.975573929568597
"49",0.975537155567758
"50",0.972806748336372
"51",0.975537155567758
"52",0.972834329470876
"53",0.974204192484574
"54",0.975564736702262
"55",0.9782766322713
"56",0.9714831040492
"57",0.974213511280586
"58",0.974213511280586
"59",0.972834329470876
"60",0.97151987805004
"61",0.970159333832353
"62",0.972889741063738
"63",0.976962430174319
"64",0.974232022942933
"65",0.972862159929235
"66",0.972871478725246
"67",0.974241341738945
"68",0.975601885956632
"69",0.978295519187178
"70",0.974222830076597
"71",0.972862285858911
"72",0.968807859086823
"73",0.968807859086823
"74",0.970150140966017
"75",0.97420431841425
"76",0.97420431841425
"77",0.975564862631937
"78",0.976907144511132
"79",0.975564862631937
"80",0.976907144511132
"81",0.97689782571512
"82",0.974204192484574
"83",0.972843648266887
"84",0.974213511280586
"85",0.972843648266887
"86",0.972843648266887
"87",0.972834329470876
"88",0.971473785253189
"89",0.972825385928395
"90",0.972825385928395
"91",0.972825385928395
"92",0.972843648266887
"93",0.971473785253189
"94",0.971446204118685
"95",0.974185930146082
"96",0.971455273590841
"97",0.974176487955891
"98",0.971446080724506
"99",0.970076217710807
"100",0.970094729373154
"101",0.970085410577143
"102",0.970085410577143
"103",0.972815817808529
"104",0.974185680822227
"105",0.97282513660454
"106",0.974185680822227
"107",0.972834329470876
"108",0.972815817808529
"109",0.974185680822227
"110",0.974185680822227
"111",0.972806624942193
"112",0.972806624942193
"113",0.971436761928494
"114",0.970085410577143
"115",0.968715547563444
"116",0.967364196212093
"117",0.966022037727077
"118",0.966003775388585
"119",0.964643231170898
"120",0.964643231170898
"121",0.964643231170898
"122",0.964643231170898
"123",0.965994582522249
"124",0.96462471950855
"125",0.96596675206389
"126",0.963263925967009
"127",0.963282188305501
"128",0.960561099870127
"129",0.961921644087814
"130",0.965975821536047
"131",0.964624470184696
"132",0.963263925967009
"133",0.9592096225891
"134",0.956470022491378
"135",0.955118671140027
"136",0.952425287233336
"137",0.955118671140027
"138",0.952397582704653
"139",0.949676494269278
"140",0.94830663125558
"141",0.94830663125558
"142",0.946955405833904
"143",0.948297687713099
"144",0.949648913134775
"145",0.944188098672003
"146",0.942836747320652
"147",0.945539573417533
"148",0.941457940764472
"149",0.944169836333511
"150",0.942809292115824
"151",0.944179029199846
"152",0.942836747320652
"153",0.942836747320652
"154",0.944197291538339
"155",0.944197291538339
"156",0.946909187107377
"157",0.94554864288969
"158",0.945521061755186
"159",0.945521061755186
"160",0.944178779875992
"161",0.944178779875992
"162",0.942808916862293
"163",0.941448372644606
"164",0.940106090765411
"165",0.937403388062709
"166",0.93875473941406
"167",0.93875473941406
"168",0.936024332182674
"169",0.938745669941903
"170",0.937366614061869
"171",0.937394195196373
"172",0.9400967719694
"173",0.937394069266697
"174",0.940096895363579
"175",0.940096895363579
"176",0.941439177242773
"177",0.937375806928205
"178",0.936024332182674
"179",0.934672857437144
"180",0.934672857437144
"181",0.930609610516754
"182",0.933321506085792
"183",0.931960961868106
"184",0.930600417650418
"185",0.931951643072094
"186",0.929248940369391
"187",0.929239747503055
"188",0.929239747503055
"189",0.931960835938429
"190",0.931951766466273
"191",0.933303117817624
"192",0.93331231068396
"193",0.93331231068396
"194",0.936024206252998
"195",0.933321380156117
"196",0.936024206252998
"197",0.930581903452574
"198",0.930581903452574
"199",0.933293799021613
"200",0.933321380156117
"201",0.934709754832163
"202",0.933321629479972
"203",0.933321629479972
"204",0.934682173697658
"205",0.931951766466273
"206",0.930618677453414
"207",0.927897712412219
"208",0.930618677453414
"209",0.931960959332608
"210",0.929239744967559
"211",0.929239744967559
"212",0.927897463088364
"213",0.923824897371963
"214",0.921113001802924
"215",0.921094490140577
"216",0.921113001802924
"217",0.922464353154276
"218",0.922492057682959
"219",0.923889501831161
"220",0.925250046048848
"221",0.923871239492669
"222",0.923852601900646
"223",0.921131387535596
"224",0.919761524521897
"225",0.918410173170546
"226",0.922455157752443
"227",0.923843283104634
"228",0.925213146118333
"229",0.922464476548454
"230",0.921094613534756
"231",0.922482738886947
"232",0.922492057682959
"233",0.921140832261283
"234",0.917040562016199
"235",0.914346928785653
"236",0.917068143150703
"237",0.917077461946714
"238",0.918447199030737
"239",0.918437880234725
"240",0.918428561438714
"241",0.919798424452413
"242",0.922510569345306
"243",0.918437880234725
"244",0.918410425029897
"245",0.918410425029897
"246",0.919789231586077
"247",0.918437880234725
"248",0.922482864816623
"249",0.92108542066842
"250",0.92108542066842
"251",0.918345694641023
"252",0.917003662085683
"253",0.917003662085683
"254",0.916985276353012
"255",0.916985276353012
"256",0.91563392500166
"257",0.92108542066842
"258",0.923825146695818
"259",0.926518656532184
"260",0.926509337736173
"261",0.92652784939852
"262",0.925194886315337
"263",0.923797442167134
"264",0.925148793518486
"265",0.923806511639291
"266",0.92517637465299
"267",0.923806511639291
"268",0.919696922598195
"269",0.919706115464531
"270",0.921085297274241
"271",0.919715434260543
"272",0.921085297274241
"273",0.921085297274241
"274",0.922464353154276
"275",0.921094490140577
"276",0.922445841491928
"277",0.921085297274241
"278",0.922445841491928
"279",0.922473422626432
"280",0.922473422626432
"281",0.919743015395047
"282",0.918373152381348
"283",0.917003289367649
"284",0.915642745149962
"285",0.915642745149962
"286",0.912921530784912
"287",0.911551667771214
"288",0.917012482233985
"289",0.915651938016298
"290",0.915651938016298
"291",0.912921530784912
"292",0.911560986567225
"293",0.911542474904878
"294",0.911542474904878
"295",0.911542474904878
"296",0.911542474904878
"297",0.910191123553526
"298",0.914263563340252
"299",0.910200193025683
"300",0.91156073724337
"301",0.915633426353951
"302",0.912921281461057
"303",0.915642495826107
"304",0.91428195160842
"305",0.915642495826107
"306",0.914291144474756
"307",0.915661007488455
"308",0.914291144474756
"309",0.915651688692443
"310",0.915633177030096
"311",0.915633177030096
"312",0.915633177030096
"313",0.915633177030096
"314",0.914309406813248
"315",0.915651688692443
"316",0.918354391395146
"317",0.914281825678744
"318",0.912930474327393
"319",0.914300337341092
"320",0.912930474327393
"321",0.9102183294345
"322",0.908848466420801
"323",0.9102183294345
"324",0.9102183294345
"325",0.911578873652187
"326",0.914300088017237
"327",0.915669951030936
"328",0.915669951030936
"329",0.915688462693283
"330",0.912958055461897
"331",0.912958055461897
"332",0.914327918475596
"333",0.917067644502993
"334",0.915697781489294
"335",0.915697781489294
"336",0.914346430137943
"337",0.912976567124244
"338",0.911616022906557
"339",0.912985885920256
"340",0.914355748933955
"341",0.915716293151642
"342",0.914346430137943
"343",0.912985885920256
"344",0.914346430137943
"345",0.914346430137943
"346",0.912976567124244
"347",0.912976567124244
"348",0.911616022906557
"349",0.91025547868887
"350",0.911616022906557
"351",0.91297669305392
"352",0.915707100285306
"353",0.914337237271607
"354",0.915688588622959
"355",0.915707100285306
"356",0.911625341702569
"357",0.911606830040222
"358",0.912985885920256
"359",0.91297669305392
"360",0.912995204716267
"361",0.912985885920256
"362",0.912995078786592
"363",0.914355623004279
"364",0.91436494180029
"365",0.911634534568905
"366",0.911625215772893
"367",0.91298575999058
"368",0.908913320203855
"369",0.912976567124244
"370",0.914327918475596
"371",0.912976567124244
"372",0.912976567124244
"373",0.912976567124244
"374",0.914327918475596
"375",0.914327918475596
"376",0.914318599679584
"377",0.914318599679584
"378",0.917058325706982
"379",0.91977022127602
"380",0.918409677058333
"381",0.918409677058333
"382",0.91842818872068
"383",0.91570697435563
"384",0.91570697435563
"385",0.914327918475596
"386",0.915688462693283
"387",0.915688462693283
"388",0.91704900691097
"389",0.918418869924668
"390",0.915688462693283
"391",0.915679143897271
"392",0.914318599679584
"393",0.914318599679584
"394",0.912958055461897
"395",0.912958055461897
"396",0.915679143897271
"397",0.91704900691097
"398",0.918409551128657
"399",0.918409551128657
"400",0.917039688114958
"401",0.91704900691097
"402",0.91704900691097
"403",0.918409551128657
"404",0.91704900691097
"405",0.91704900691097
"406",0.91704900691097
"407",0.91704900691097
"408",0.91704900691097
"409",0.919760902480008
"410",0.919760902480008
"411",0.918409551128657
"412",0.919760902480008
"413",0.918400358262321
"414",0.918400358262321
"415",0.919760902480008
"416",0.919760902480008
"417",0.919760902480008
"418",0.918400358262321
"419",0.918409551128657
"420",0.919779414142356
"421",0.919779414142356
"422",0.918418869924668
"423",0.917067518573317
"424",0.91570697435563
"425",0.91842818872068
"426",0.919788732938367
"427",0.91842818872068
"428",0.91842818872068
"429",0.918446451059173
"430",0.918446451059173
"431",0.917095099707821
"432",0.917095099707821
"433",0.917095099707821
"434",0.917095099707821
"435",0.917095099707821
